Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;2;8990377;"Zhou, Yanyang";1845;6.0;*;4.0;1481;"Li, Vince";9068708;11
2;7;9022409;"Pata, Teodor-Stefan";1615;4.5;*;5.0;1693;"Kruger, Derik";9018559;3
3;5;8985273;"Plukkel, Guus";1674;4.0;*;4.0;1228;"Lalkota, Srikar";8974768;19
4;12;9100674;"Penugurti, Advika Satya";1412;3.5;*;3.0;1485;"Methlouthi, Aly";9021133;10
5;14;9069291;"Jin, Hongyi";1390;3.0;*;3.0;1533;"Ng, Thomas";8891575;8
6;9;8966474;"Gafurov, Damir";1524;3.0;*;3.0;1211;"Roghair, Tommie";9125710;20
7;6;9054606;"Kokkula, Advaith Krishna";1636;3.0;*;2.5;1686;"Patil, Anay";9105261;4
8;17;8850776;"Gang, Luke Wan Cheng";1252;2.0;*;2.0;1368;"Küçük, Çinar";9116855;15
9;21;8999111;"Udhaya Kumar, Medhini";1167;1.0;*;2.0;1241;"Ding, David";9083679;18
-;1;8933991;"Ma, Tim";1990;2.5;0;;;bye
-;13;8939656;"Knippels, Tim";1405;1.0;0;;;bye
-;16;9095779;"Brik, Yazan";1331;2.0;0;;;bye
